_id,책ID,책 이름,댓글 아이디,댓글 내용
658e82ffc3baaf37b89b32f6,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,li*****,"쇼펜하우어라고 하면 가장 먼저 떠오르는 단어가 무엇인가?\n많은 사람들이 ‘염세주의’, ‘비관주의'를 떠올릴 것이다.\n하지만 그를 그렇게 단적으로 표현하기에는 뭔가 빠트린 듯한 기분이 든다.\n그의 철학의 기조는 비관주의라고 할 수 있지만, 단지 비관에 그친 것이 아니라 그 속에서 희망과 행복을 찾으려고 했다.\n\n이 책은 쇼펜하우어의 철학을 ‘마흔’이라는 나이에 마주칠 생각들과 결부시켜 설명하고 있다.\n마흔은 전체 인생에서 보면 지나치게 많지도, 부족하지도 않은 때이다.\n적당한 사회 경험이 있고, 아직은 체력적으로 부족함을 느끼지 않는다.\n젊은 세대에게는 어른 대접을 받고, 나이든 분들에게는 아직 젊은이 취급을 받는 소위 낀세대이기도 하다.\n그만큼 많이 부딪히고 어려움을 겪는 세대라고 할 수 있다.\n‘마흔'이라는 나이와 ‘쇼펜하우어'의 철학이 잘 맞는 시기인 것 같다.\n\n사회에 대한 도전과 자신감이 넘쳤던 30대가 지나면서 사회 생활에 조금씩 지쳐갈 때 부정적인 생각들이 들곤 한다.\n비관주의를 넘어 기존 체제에 순응하는 모습을 보이기도 한다.\n쇼펜하우어는 그러지 말라고 말하고 있다.\n인생은 원래 괴로운 것이고, 그 괴로움 속에서 성장하고 행복의 순간을 찾기 위해 노력해야 한다.\n현실을 받아들이되 바꾸고 싶은 것, 바꿀 수 있는 것들에 대해 계속 도전해야 한다.\n\n힘들고 괴로운 것을 이기고, 버티려고 하지 말자.\n그것이 인생임을 인정하자.\n인정하지 않으면 벗어날 수 없다.\n\n‘인정한다'는 것이 ‘받아들인다'라는 의미는 아니다.\n인정은 하지만, 받아들이기 싫은 것에 대해서는 바꾸기 위해 적극적으로 노력해야 한다.\n이것이 진짜 내 인생이다."
658e8301c3baaf37b89b32f7,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,tl******,"마흔에 접어든지 3년차, 30대처럼 살고 싶지 않았다. 뭔가 내가 놓치고 있는 중요한게 있는것만 같았다. 때론 함께보다는 혼자가 더 편했고 산책로를 따라 자연과 함께 하고 싶었다. 테트리스처럼 퀘스트를 부여받고 해치우고 다른 퀘스트에 다시 도전하는 삶이 아니라 하루하루를, 순간 찰나를 느끼며 살고 싶다는 생각이 들었다. 그리고 책에서 나의 이런 소망들에 대한 위로와 격려를 받았다. 내가 잘못된 것이 아님을 확인받았다. 나는 잘 하고 있고 앞으로도 잘할것이라 믿는다."
658e8302c3baaf37b89b32f8,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,al********,"최근 관심 있는 독서 분야인 철학 관련 도서를 읽을 기회가 생겼다. 쇼펜하우어 정말 유명한 철학가지만, 제대로 읽어보고 알아본 적은 없었다. 쇼펜하우어 철학에 대해 자세히 알아볼 수 있는 기회라고 생각했다.\n\n책의 부제로 ‘마음의 위기를 다스리는 철학 수업’이라고 적혀 있었는데, 바쁜 현대 사회를 살면서 꼭 빠질 수 없는 부분이 아닐까 생각한다. 위기는 누구에게든 찾아오는 것이고 그것을 어떻게 다루는지가 중요한 것 같다. 이 책을 읽으면서 조금이라도 해답을 찾을 수 있으면 좋지 않을까.\n\n“한계 효용 체감의 법칙이라는 경제학 용어가 있다. 이 법칙은 어떤 사람이 동일한 재화나 서비스를 소비함에 따라 느끼는 주관적인 만족도 혹은 필요도가 점차 감소한다는 의미다. 아무리 맛있는 음식을 계속 먹으면 질리는 것처럼 한계 효용은 반복할수록 점차 줄어든다. 따라서 돈이 행복의 조건이라고 해도 반드시 액수에 비례하여 행복감이 증가하지 않는다.”\n\n내가 지난 경제학 수업에서 배웠던 용어가 등장해 반가운 마음이 들었다. 사실 이 용어는 몰라도 이런 개념에 대해선 알 수 있을 것이다. 좋아하고 맛있는 음식도 매일 먹으면 익숙해지고 질리듯이 처음 느꼈던 100%의 기쁨을 온전히 느끼지 못할 것이다.\n\n그게 바로 한계 효용 체감의 법칙이다. 좋아하는 것을 꼭 많이 자주하고 많이한다고 해서 그것이 꼭 행복으로 연결되진 않는다는 것을 알 수 있다. 결국은 내 마음을 질적으로 채워주는 것도 중요함을 깨달아야 한다.\n\n“계속 새로운 것을 찾는 것, 새로운 사람을 만나는 것, 새로운 사랑을 원하는 것은 행복의 길이 아니다. 밖에서 새로운 것을 찾지 말고 원래 갖고 있던 것의 가치를 되새겨 봐야 한다. 중요한 것은 인간의 마음속에 있다. 즉 세상을 바라보는 일관된 시야, 마음가짐, 태도다.”\n\n최근에는 계속 밖에 나가 새로운 사람을 만나고 새로운 동아리에 가입해 또다시 새로운 사람을 만나고를 반복했다. 그러다보니 쉽게 피로함을 느끼고 지쳐가고 있다는 것이 느껴졌다. 분명 새로운 사람을 만나고 싶고 새로운 것을 경험하고자 했지만, 오히려 더 불편하고 피로해지는 역효과로 나타나기도 했다.\n\n내가 놓치게 있는 게 무엇일까 생각하게 됐다. 당연한 생각이지만, 아무리 새로운 것을 찾아도 내 내면을 채우는 게 먼저구나. 외로움은 당연한 생각을 못하게 하는 방해물일지도 모르겠다. 인간이란 당연히 평생을 외로움을 느끼는 존재인데, 아직은 어떻게 이 감정을 받아들여야할지 잘 모르겠다.\n\n“죽음 자체보다 죽음을 생각하는 것이 고뇌의 더 큰 원인이 되듯이 인간이 겪는 고통의 대부분은 상상력, 회상과 예상이라는 지성 활동에서 비롯된다. 많이 알수로 불행해질 수 있다는 점에서 지식은 쓸모가 없다. 행복은 지식에 비례하지 않는다. 인생살이에 무지한 젊은 사람이 역설적으로 인생의 많은 경험으로 욕망의 탐욕과 충족의 덧없음을 깨달은 늙은 사람보다 더 행복할 수도 있다.”\n\n막연히 더 많은 지식과 경험을 지닌 자가 지혜로울 것이란 생각을 했다. 물론 지혜롭겠지만 그게 행복으로 이어지지 않는다는 전제는 생각해본 적이 없었다. 더 많은 정보가 나의 힘이 되어줄 것이라고도 생각했었기 때문이다. 그것도 물론 그렇겠지만, 결국 그런 정보가 모여 오히려 나를 더 어지럽게 만드는 원인이 될 수 있다는 것도 깨달았다.\n\n그렇다면 내 내면을 어떻게 채워나가야 할지가 관건일 것 같다. 쇼펜하우어는 내 인생을 있는 그대로 인정하고 내면을 채워나가야 한다고 주장했다. 어차피 다 허무로 돌아가면 권력, 명예, 부는 보잘 것 없는 것이 될텐데 … 나도 쇼펜하우어의 생각에 동의했다.\n\n그런데 이런 물질적인 것을 포기하거나 쉽게 생각하기가 현실적으로 어렵다. 결국은 내 의지에 달렸겠지만, 어려울 땐 이 책을 펼치며 마음을 다잡아야겠다. 어떤 사람이 되어 어떤 행복을 찾아야 할지 이 책이 길잡이 역할을 해줄 것 같다.\n\n\n해당 도서는 서평 작성을 위해 무상으로 제공 받았습니다."
658e8303c3baaf37b89b32f9,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,un*****,"마흔에 읽는 쇼펜하우어\n\n인생은 고통의 연속이다. 마흔이 넘어 최근에 깊이 내린 결론이다. 물론 고통이 크기에 삶을 포기하거나 외면하고 싶은 생각은 없다. 고통도 삶의 일부이기 때문이다. 억지로 고통을 쥐어짜거나 고통을 자초할 필요는 없지만, 삶의 순간순간 고통스런 순간이 오더라도 그 고통을 담담하게 받아드릴 용기가 필요하다. 아니, 이미 우리 안에 그런 용기는 있다.\n\n여하튼 마흔이라는 나이는 참 복잡하다. 나이가 많지도 적지도 않은 애매한 나이. 하지만 앞으로도 많은 시간을 보내야 하는 나이. 그 옛날, 나는 마흔에 무엇을 할것인가라고 생각했을 때 분명 지금의 모습은 아니었던게 확실하다. 그러면 나는 마흔이 넘어서 어떻게 살고 싶었던 것일까. 삶이란 과연 무엇이며 우리가 추구하는 그 행복이란 존재는 무엇일까.\n\n이 책은 세계적인 철학자 쇼펜하우어를 소개하며 그가 주장했던 철학사상과 구체적으로 삶 가운데 생각하고 적용할 수 있는 내용들로 가득 차 있다. 그는 많은 이들의 롤모델이었고 그의 영향을 받았다.\n\n책은 총 5장으로 구성되어 있다. 1장은 마흔, 왜 인생이 괴로운가 – 쇼펜하우어의 진리, 2장은 왜 있는 그대로 인정해야 하는가 – 쇼펜하우어의 자신, 3장 무엇으로 내면을 채워야 하는가 – 쇼펜하우어의 행복, 4장 어떤 사람으로 살아야 하는가 – 쇼펜하우어의 관계 끝으로 5장은 어디에서 행복을 찾아야 하는가 – 쇼펜하우어의 인생 이렇게 5장으로 되어 있다.\n\n우선 인상적이었던 부분을 살펴보면 1장에 나오는 고통에 관한 부분이다. 그는 모든 인생은 고통이라 말하며 이는 불교에서 표현되는 ‘일체개고’와 유사하다. 쇼펜하우어는 인생이 고통인 이유를 살아남고자 하는 인간 본성의 욕망 때문이라고 했다. 그는 인간의 본성을 삶에 대한 맹목적인 의지로 보고 영원히 살려는 맹목적인 욕망이 충족되지 않기에 고통스러운 것으로 봤다. 일면 맞는 부분이다.\n\n무언가를 소유하고 싶고 되고 싶고 누리고 싶은 욕망이 있고 현실은 그런 욕망을 충족시켜주지 못하기에 고통이 뒤따른다. 때문에 책에서는 마흔 이후에 행복한 삶을 누리기 위해서는 경험과 지식을 쌓고 자기 통찰을 거듭해야 한다고 말한다. 다시 말해 고통의 원인을 잘 파악하여 그 고통을 잘 조절하는 것이 삶을 지혜롭게 사는 방법이다. 말처럼 쉬운 일은 아니지만 한번뿐인 삶에서 그 지혜를 얻기 위해 노력해야 한다.\n\n또한 행복한 인생을 결정짓는 진정한 가치는 고통을 잘 견뎌내는 인내력에 있다고 책에서 말하고 있다. 그래서 세상에서 가장 큰 행복을 누리는 사람은 역설적으로 덜 불행하게 살 수 있는 용기가 있고, 고통을 그럭저럭 견뎌 내면서 하루하루를 묵묵히 살아가는 이라는 것이다. 요즘 들어 너무 동감한다. 행복을 좇아 살다 보면 그만큼 현실에 있지 않은 행복 때문에 더 불행하다고 느끼는 것 같다. 반면, 주어진 현실을 한 걸음씩 내딛는 용기가 필요하며 그 가운데 평범하지만 곳곳에 숨어있는 기쁨들을 온전히 누리는 것이야 말로 진정한 행복이 아닐까라는 생각이 든다. 인생은 정답이 없다. 그렇기에 그 속에서 끊임없이 고민하고 생각하면서 자신만의 답을 찾아가는 것이 가장 현명한 태도가 아닐까 생각해본다."
658e8304c3baaf37b89b32fa,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,sy*****,"철학에세이라고 해야 하나? 쇼펜하우어의 철학을 충실히 담은 것인지 조금 의심스럽다. 쇼펜하우어가 말한 <의지>란 칸트의 물자체와 비슷한 형이상학적 세계자체를 말하는 것인데 이 책에서 저자는 마치 인간의 삶에 대한 의지인 것 처럼 이야기하고 있다. 또한 군데군데 동어반복적인 표현으로 이건 또 뭔 소린가 하는 혼잣말을 여러번 하게 된다. 논리의 앞뒤가 잘 맞지 않는...예를 들어 결혼은 해도 후회, 안 해도 후회인데 그래도 늙어서 외롭지 않으려면 잘 살아야 하니 예전의 연예편지나 문자를 들춰보라는 뭐 그런 농담 같은 글이 매우 실망스럽다."
658e8305c3baaf37b89b32fb,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,sa*********,깊은감동이 있어서 자주꺼내보게되요
658e8306c3baaf37b89b32fc,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,oy******,내가 추구하는 삶의 가치관과 일치하기 때문에 최고라는 느낌이 드는 것 같다.
658e8307c3baaf37b89b32fd,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,jy*****,굳이 종이책으로 구매할 필요까지는 없는 듯.
658e8308c3baaf37b89b32fe,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ma******,60을 바라보며 읽어보고 싶은 쇼펜하우어
658e8309c3baaf37b89b32ff,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,se*****,포털에서 인상깊게 쓴 리뷰를 보고 구매하였으나 기대에 못 미치는 거 같아요 차라리 다른 쇼펜하우어 원작을 읽으시는게 나을 듯 해요…
